Date,Balance
7/6/2021,38480.49
7/7/2021,38611.32
7/8/2021,38279.27
7/9/2021,38711.82
7/12/2021,38847.31
7/13/2021,38711.35
7/14/2021,38757.80
7/15/2021,38629.90
7/16/2021,38340.18
7/19/2021,37730.57
7/20/2021,38304.07
7/21/2021,38618.17
7/22/2021,38695.40
7/23/2021,39086.23
7/26/2021,39180.03
7/27/2021,38995.89
7/28/2021,38988.09
7/29/2021,39151.84
7/30/2021,38940.42
8/2/2021,38870.32
8/3/2021,39189.06
8/4/2021,39008.79
8/5/2021,39242.84
8/6/2021,39309.56
8/9/2021,39274.18
8/10/2021,39313.45
8/11/2021,39364.56
8/12/2021,39525.95
8/13/2021,39589.20
8/16/2021,39692.13
8/17/2021,39410.31
8/18/2021,38988.62
8/19/2021,39039.31
8/20/2021,39355.53
8/23/2021,39690.05
8/24/2021,39749.58
8/25/2021,39837.03
8/26/2021,39605.98
8/27/2021,39954.51
8/30/2021,40126.32
8/31/2021,40074.15
9/1/2021,40086.17
9/2/2021,40198.42
9/3/2021,40186.36
9/7/2021,40049.72
9/8/2021,39997.66
9/9/2021,39813.67
9/10/2021,39507.10
9/13/2021,39597.97
9/14/2021,39372.26
9/15/2021,39706.92
9/16/2021,39643.39
9/17/2021,39282.64
9/20/2021,38614.83
9/21/2021,38583.94
9/22/2021,38950.49
9/23/2021,39421.79
9/24/2021,39480.92
9/27/2021,39370.38
9/28/2021,38567.22
9/29/2021,38628.93
9/30/2021,38169.24
10/1/2021,38608.19
10/4/2021,38106.28
10/5/2021,38506.40
10/6/2021,38664.28
10/7/2021,38985.19
10/8/2021,38911.12
10/11/2021,38642.63
10/12/2021,38549.89
10/13/2021,38665.54
10/14/2021,39326.72
10/15/2021,39621.67
10/18/2021,39756.38
10/19/2021,40050.58
10/20/2021,40198.77
10/21/2021,40319.36
10/22/2021,40275.01
10/25/2021,40464.31
10/26/2021,40537.14
10/27/2021,40330.40
10/28/2021,40725.64
10/29/2021,40803.02
11/1/2021,40876.46
11/2/2021,41027.71
11/3/2021,41294.39
11/4/2021,41467.82
11/5/2021,41621.25
11/8/2021,41658.71
11/9/2021,41512.91
11/10/2021,41172.50
11/11/2021,41197.21
11/12/2021,41493.83
11/15/2021,41493.83
11/16/2021,41655.65
11/17/2021,41547.35
11/18/2021,41688.61
11/19/2021,41630.24
11/22/2021,41497.03
11/23/2021,41567.57
11/24/2021,41663.18
11/26/2021,40717.42
11/29/2021,41254.89
11/30/2021,40471.05
12/1/2021,39993.49
12/2/2021,40561.40
12/3/2021,40220.68
12/6/2021,40691.27
12/7/2021,41533.57
12/8/2021,41662.33
12/9/2021,41362.36
12/10/2021,41755.30
12/13/2021,41375.33
12/14/2021,41065.01
12/15/2021,41734.37
12/16/2021,41371.28
12/17/2021,40945.16
12/20/2021,40478.39
12/21/2021,41198.90
12/22/2021,41619.13
12/23/2021,41877.17
12/27/2021,42455.07
12/28/2021,42412.62
12/29/2021,42472.00
