Symbol,Name,High,Low,Close,Volume,Change ($),Change (%)
5LY,Marco Polo Marine Ltd.,0.0600,0.0580,0.0590,54398000,0.0020,3.51
5MD,Soon Lian Holdings Limited,0.2000,0.2000,0.2000,0,0.0000,0.00
5ML,Old Chang Kee Ltd.,0.6350,0.6350,0.6350,0,0.0000,0.00
5MZ,Kingsmen Creatives Ltd,0.3200,0.3100,0.3100,13900,-0.0150,4.62
5NF,Mencast Holdings Ltd.,0.0480,0.0470,0.0470,4792200,0.0010,2.17
5NG,Healthway Medical Corp Ltd,0.0470,0.0460,0.0460,3234800,0.0000,0.00
5NV,Chasen Holdings Limited,0.0520,0.0490,0.0520,127900,0.0010,1.96
5O9W,Xiaomi 5xlongub250228,0.0130,0.0120,0.0130,44400,0.0020,18.18
5OC,Koyo International Limited,0.0440,0.0440,0.0440,0,0.0000,0.00
5OI,Japan Foods Holding Ltd.,0.4500,0.4250,0.4500,78500,0.0150,3.45
5OQ,Teho International Inc Ltd.,0.0530,0.0520,0.0530,1100,0.0000,0.00
5OR,Heatec Jietong Holdings Ltd.,0.0230,0.0230,0.0230,0,0.0000,0.00
5OU,China Environment Ltd.,0.0370,0.0370,0.0370,0,0.0000,0.00
5OX,Mary Chia Holdings Limited,0.0160,0.0160,0.0160,0,0.0000,0.00
5PC,Goodland Group Limited,0.1340,0.1340,0.1340,0,0.0000,0.00
5PD,Hengyang Petrochem Log Limited,0.2400,0.2400,0.2400,0,0.0000,0.00
5PF,Jason Marine Group Limited,0.1310,0.1310,0.1310,0,0.0000,0.00
5PL,Sbi Offshore Limited,0.0380,0.0380,0.0380,0,0.0000,0.00
5PO,Hiap Tong Corporation Ltd.,0.1290,0.1240,0.1240,2051700,-0.0040,3.13
5Q4W,Djia 30000mbepw231215,0.0860,0.0860,0.0860,0,0.0000,0.00
5QR,Mann Seng Metal Intl Limited,0.0310,0.0310,0.0310,0,0.0000,0.00
5QT,Charisma Energy,0.0020,0.0020,0.0020,0,0.0000,0.00
5QY,Net Pacific Fin Hldgs Ltd,0.0210,0.0200,0.0210,1233300,0.0000,0.00
5RA,Asia-pacific Strategic Inv Ltd,0.0020,0.0020,0.0020,0,0.0000,0.00
5RC,Es Group (holdings) Limited,0.0430,0.0430,0.0430,0,0.0000,0.00
5RE,Smartflex Holdings Ltd,0.0570,0.0570,0.0570,0,0.0000,0.00
5RF,Friven & Co. Ltd.,0.0160,0.0160,0.0160,0,0.0000,0.00
5SO,Duty Free Internationallimited,0.1610,0.1590,0.1600,97800,0.0000,0.00
5SR,Zhongmin Baihui Retail Grp Ltd,0.6450,0.6400,0.6450,20000,0.0050,0.78
5SY,Chew's Group Limited,0.2450,0.2450,0.2450,0,0.0000,0.00
5TI,Kitchen Culture Holdings Ltd.,0.0800,0.0800,0.0800,0,0.0000,0.00
5TJ,Far East Group Limited,0.0950,0.0950,0.0950,0,0.0000,0.00
5TP,Cnmc Goldmine Holdings Limited,0.1970,0.1940,0.1950,96300,0.0000,0.00
5TT,Keong Hong Holdings Limited,0.1940,0.1720,0.1940,144700,0.0140,7.78
5TY,Advanced Systems Automation,0.0010,0.0010,0.0010,4118000,0.0000,0.00
5UA,Starland Holdings Limited,0.0780,0.0780,0.0780,0,0.0000,0.00
5UF,Maxi-cash Fin Svcs Corp Ltd,0.1450,0.1430,0.1450,197500,0.0020,1.40
5UL,Atlantic Navigation Hldg(s)ltd,0.3200,0.3200,0.3200,100000,0.0000,0.00
5UN,Sincap Group Limited,0.0050,0.0050,0.0050,0,0.0000,0.00
5UO,Sysma Holdings Limited,0.1670,0.1670,0.1670,0,0.0000,0.00
5UX,Oxley Holdings Limited,0.1270,0.1250,0.1250,124000,-0.0010,0.79
5VC,Kori Holdings Limited,0.1650,0.1650,0.1650,0,0.0000,0.00
5VI,Logistics Holdings Limited,0.0350,0.0350,0.0350,0,0.0000,0.00
5VJ,Halcyon Agri Corporation Ltd,0.4100,0.4100,0.4100,0,0.0000,0.00
5VP,Gds Global Limited,0.0400,0.0400,0.0400,0,0.0000,0.00
5VS,Hafary Holdings Limited,0.2850,0.2850,0.2850,0,0.0000,0.00
5WA,Intl Healthway Corp Limited,0.0320,0.0310,0.0320,2640700,0.0010,3.23
5WF,Isoteam Ltd.,0.0580,0.0550,0.0570,680500,0.0010,1.79
5WG,Singapore Kitchen Equipmentltd,0.0590,0.0590,0.0590,0,0.0000,0.00
5WH,Rex International Holding Ltd,0.1810,0.1750,0.1790,25680400,0.0040,2.29
5WJ,Moneymax Financial Servicesltd,0.2250,0.2150,0.2250,100000,0.0050,2.27
5WV,Asiaphos Limited,0.0110,0.0100,0.0110,2132900,0.0000,0.00
5YCW,Yzj 5xshortsg231115,0.0010,0.0010,0.0010,0,0.0000,0.00
600,Hyflux Ltd,0.2100,0.2100,0.2100,0,0.0000,0.00
6AZB,Astrea Vi3%b310318#,0.9720,0.9680,0.9720,68000,0.0010,0.10
7QQS,Nz07100s 270301,109.0,109.0,109.0,0,0.0,0.00
8A1,Forise Int,0.0690,0.0680,0.0680,31400,-0.0010,1.45
8AZ,Aztech Gbl,0.7100,0.6950,0.7000,961100,0.0000,0.00
8B5W,Hsi 20400mbecw230630,0.0130,0.0130,0.0130,0,0.0000,0.00
8K7,Ughealthcare,0.1480,0.1440,0.1480,30400,0.0030,2.07
8R7W,Tencen3xshortub250428us$,1.670,1.630,1.655,16800,-0.140,7.80
8R9W,Dbs Mb Ecw240701,0.0600,0.0550,0.0600,2580000,0.0080,15.38
8U7U,Ireit Global Eur,0.2850,0.2850,0.2850,0,0.0000,0.00
8Y2W,Jd 5xlongub250127,0.0180,0.0180,0.0180,200,0.0050,38.46
8YIW,Sunny 5xshortub250430,0.0090,0.0090,0.0090,0,0.0000,0.00
8YLS,Nz19100s 390701,95.60,95.60,95.60,0,0.00,0.00
8YY,Biolidics Limited,0.0150,0.0130,0.0150,3074900,0.0010,7.14
92FW,Clife 5xlongub250430,0.1150,0.1070,0.1140,1400,0.0140,14.00
92NW,Nasdaq 7xshortub250922,0.0370,0.0370,0.0370,0,0.0000,0.00
966W,Nky 31500mbecw231208,0.1850,0.1850,0.1850,0,0.0000,0.00
96DW,Datapulse Tech W271128,0.0100,0.0100,0.0100,2256700,0.0010,11.11
97WW,Hsi 21200mbecw230728,0.0040,0.0040,0.0040,817000,0.0020,100.00
98CW,Uob Mb Ecw231110,0.0470,0.0410,0.0470,690100,0.0080,20.51
9BOW,Simsci 380mbecw231229,0.0130,0.0130,0.0130,0,0.0000,0.00
9BRW,Tencentmbepw230802,0.1090,0.1090,0.1090,0,0.0000,0.00
9CI,Capitalandinvest,3.470,3.340,3.450,14145600,0.140,4.23
9GBW,Xiaomi 5xlongub250930,0.2550,0.2300,0.2550,1200,0.0450,21.43
9HNW,Cnooc 5xshortub250228,0.0130,0.0130,0.0130,0,0.0000,0.00
9J2W,Petroch 5xlongub250430,0.4150,0.3450,0.4150,800,0.0650,18.57
9L1W,Tencentmbecw230802,0.0140,0.0140,0.0140,0,0.0000,0.00
9NDW,Tencent 5xshortub250127,0.5050,0.5000,0.5000,800,-0.0850,14.53
9PPW,Petroch 5xshortub250430,0.0160,0.0160,0.0160,0,0.0000,0.00
9QEW,Tencent 5xshortub250228,0.0150,0.0150,0.0150,0,0.0000,0.00
9RAW,Sands Mb Epw231004,0.0150,0.0150,0.0150,0,0.0000,0.00
9TFW,Singtelmbecw230724,0.0020,0.0020,0.0020,1000000,-0.0110,84.62
9UIW,Hsi 20800mbecw230830,0.0480,0.0390,0.0480,48877500,0.0170,54.84
9VBW,Meituan Mb Epw231004,0.1180,0.1180,0.1180,0,0.0000,0.00
9VNW,Hsi 21400mbecw230630,0.0110,0.0110,0.0110,0,0.0000,0.00
9W2W,Cosco 5xlongub251031,0.5550,0.5500,0.5500,400,0.0050,0.92
9WSW,Uob Mb Ecw230615,0.0030,0.0030,0.0030,0,0.0000,0.00
9ZIW,Nasdaq 7xlongub250922,5.050,5.050,5.050,0,0.000,0.00
A04,Asl Marine Holdings Ltd,0.0590,0.0560,0.0570,8362700,0.0010,1.79
A05,Avjennings Limited,0.3550,0.3550,0.3550,0,0.0000,0.00
A17U,Ascendas Real Estate Inv Trust,2.800,2.750,2.800,18831000,0.070,2.56
A26,Sinarmas Land Limited,0.1930,0.1930,0.1930,10000,-0.0040,2.03
A30,Aspial Corporation Limited,0.0730,0.0730,0.0730,0,0.0000,0.00
A31,Addvalue Technologies Ltd,0.0110,0.0100,0.0100,1536700,0.0000,0.00
A33,Blumont Group Ltd.,0.0010,0.0010,0.0010,0,0.0000,0.00
A34,Amara Holdings Ltd,0.4700,0.4600,0.4600,292600,-0.0050,1.08
A35,Abf Spore Bond Index Fund Etf,1.043,1.040,1.043,172523,0.003,0.29
A50,Rowsley Ltd.,0.0650,0.0620,0.0640,55618200,0.0030,4.92
A52,Annaik Limited,0.0750,0.0750,0.0750,37500,-0.0010,1.32
A55,Asia Enterprises Holding Ltd,0.1490,0.1480,0.1490,41000,0.0000,0.00
A78,Liongold Corp Ltd,0.0020,0.0020,0.0020,0,0.0000,0.00
A7RU,Cityspring Infrastruct Trust,0.5150,0.5100,0.5150,2300800,0.0000,0.00
AAJ,Sunmoon Food Company Limited,0.0200,0.0200,0.0200,200,0.0020,11.11
ACV,Frasers Hospitality Trust,0.4700,0.4650,0.4700,554300,0.0000,0.00
ADN,First Sponsor Group Limited,1.250,1.250,1.250,0,0.000,0.00
AFC,Yuuzoo Corporation,0.0380,0.0380,0.0380,0,0.0000,0.00
AFUS,Nx15100z 250601,98.40,98.40,98.40,0,0.00,0.00
AGS,The Hour Glass Limited,2.120,2.080,2.100,51500,0.010,0.48
AIY,Ifast Corporation Ltd.,4.860,4.740,4.770,186800,-0.030,0.63
AJ2,Ouhua Energy Holdings Limited,0.0670,0.0650,0.0670,125600,0.0020,3.08
AJBU,Keppel Dc Reit,2.240,2.180,2.230,6880800,0.040,1.83
AOF,Amplefield Limited,0.0260,0.0260,0.0260,0,0.0000,0.00
AP4,Riverstone Holdings Limited,0.6450,0.6250,0.6300,6756000,-0.0050,0.79
AU8U,Capitaretail China Trust,1.030,1.000,1.010,5645700,0.000,0.00
AUE,United Fiber System Limited,0.1820,0.1800,0.1820,739500,0.0020,1.11
AVM,Boustead Projects Limited,0.9550,0.9550,0.9550,0,0.0000,0.00
